NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Package Price,Nett Price After Discount,DC Cable,DC cable qty (m),mountting structure,AC Cable,AC cable qty (m),Breaker,PV METER,PVC DB BOX
8,4,1X [1P] SAJ R5 4KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 8 PCS 650W,"8X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 4KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM17,330.00","RM14,320.00",Master Tec,20,8 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
9,4,1X [1P] SAJ R5 4KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 9 PCS 650W,"9X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 4KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM18,560.00","RM15,330.00",Master Tec,20,9 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
10,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 10 PCS,"10X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM20,100.00","RM16,610.00",Master Tec,20,10 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
11,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 11 PCS,"11X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM21,330.00","RM17,620.00",Master Tec,20,11 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
12,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 12 PCS,"12X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM22,550.00","RM18,630.00",Master Tec,20,12 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
13,6,1X [1P] SAJ R5 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 13 PCS,"13X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 6KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM23,850.00","RM19,700.00",Master Tec,20,13 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
14,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 14 PCS,"14X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 7KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM26,170.00","RM20,510.00",Master Tec,20,14 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
15,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 15 PCS,"15X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 7KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM27,390.00","RM21,460.00",Master Tec,20,15 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
16,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 16 PCS,"16X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 7KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM28,620.00","RM22,420.00",Master Tec,20,16 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
17,8,1X [1P] SAJ R5 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 17 PCS,"17X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM29,840.00","RM23,380.00",Master Tec,20,17 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
18,8,1X [1P] SAJ R5 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P] STRING SAJ JINKO 18 PCS,"18X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [1P] SAJ R5 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM31,070.00","RM24,340.00",Master Tec,20,18 unit,MEGA/TAISIN/CABLE LINK,5,EPS 2P32A,2P PV METER,8.5 Way
10,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 10 PCS 650W,"10X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM22,430.00","RM17,400.00",Master Tec,20,10 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
11,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 11 PCS,"11X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM23,660.00","RM18,350.00",Master Tec,20,11 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
12,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 12 PCS,"12X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 5KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM24,950.00","RM19,350.00",Master Tec,20,12 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
13,6,1X [3P] SAJ R6 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 13 PCS,"13X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 6KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM26,170.00","RM20,300.00",Master Tec,20,13 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
14,6,1X [3P] SAJ R6 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 14 PCS,"14X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 6KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM27,540.00","RM21,360.00",Master Tec,20,14 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
15,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 15 PCS,"15X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM28,770.00","RM22,310.00",Master Tec,20,15 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
16,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 16 PCS,"16X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM29,990.00","RM23,260.00",Master Tec,20,16 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
17,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 17 PCS,"17X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM31,210.00","RM24,210.00",Master Tec,20,17 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
18,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 18 PCS,"18X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 8KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM32,440.00","RM25,160.00",Master Tec,20,18 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
19,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 19 PCS,"19X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM33,810.00","RM25,950.00",Master Tec,20,19 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
20,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P] STRING SAJ JINKO 20 PCS,"20X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon 
 1X [3P] SAJ R6 10KW String Inverter
 1X SEDA ATAP Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift",Residential,"RM35,030.00","RM26,620.00",Master Tec,20,20 unit,MEGA/TAISIN/CABLE LINK,5,EPS 3P32A,4P PV METER,10.5 Way
